TOT Global CM22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
1.249,7.1717,99.4897,45.8646,823.0712,0.0055
1.8435,2.7351,89.7012,45.7898,827.0351,0.0021
6.9128,14.2165,52.1805,5.2604,820.2791,0
4.7259,20.3016,30.6618,23.7444,819.6045,0
6.229,15.5954,59.1862,2.8,824.3749,0
5.4309,21.8549,30.7017,10.3931,821.0442,0
6.0876,23.0999,26.0674,7.4347,818.7398,0
6.3614,23.363,25.6204,-0.1688,816.8033,0
5.5712,22.9736,30.2124,7.5458,816.9242,0
5.6131,19.6921,46.8218,3.8315,823.3132,0
3.5418,15.8285,66.1028,35.7062,825.7689,0.0039
4.1686,17.9414,61.6148,27.1278,821.0975,0
4.3926,19.5564,41.3597,23.1826,820.8004,0
5.9428,21.1064,35.2139,-0.0611,823.5277,0
5.8912,22.1487,32.807,-0.1337,821.7903,0
5.7453,22.4133,34.1843,-0.0847,818.4669,0
5.8099,21.88,29.8859,-0.3175,816.0838,0
4.5799,15.5788,66.304,15.419,817.8412,0.0019
1.3885,11.3031,90.8496,42.0708,815.3003,0.0111
3.9169,12.9819,44.2321,26.4743,811.9799,0
3.2633,9.7351,62.6707,31.0168,814.1113,0.0018
4.9849,9.9655,47.6444,5.984,819.2279,0
5.6722,6.9125,62.7064,4.2249,824.8014,0.0004
4.9187,17.3202,22.5825,9.1243,818.9947,0
5.5272,16.9213,26.9924,2.5094,817.4977,0
4.7346,18.8439,24.6579,15.6948,815.6413,0
5.2845,19.4731,22.8636,0.8322,818.2515,0
4.4235,16.741,34.9526,25.0543,818.3008,0
1.5633,11.8566,69.0986,39.713,819.6157,0.0136
2.6464,9.9638,80.397,35.0313,821.5729,0.0002
3.2489,14.061,47.5235,18.9155,816.4654,0.0004
1.026,8.7723,58.03,36.2062,812.4244,0.0041
5.0686,8.2603,50.5157,0.025,821.0105,0
5.0965,15.0003,27.1443,-0.5347,820.6184,0
3.8615,17.8395,20.75,28.7835,815.8497,0
4.1735,16.3141,29.885,7.55,817.2262,0
4.1628,9.8864,51.4751,8.7792,820.7947,0
4.0958,12.6495,45.169,6.5467,819.436,0
4.4,16.2688,30.7627,6.809,819.7298,0
3.9418,16.2978,35.547,6.0076,819.4163,0
3.6928,17.3388,34.5662,10.1285,815.844,0
2.9807,14.0402,45.4781,18.6233,818.6888,0
3.9536,15.7324,32.2571,15.8586,820.3417,0
3.9463,19.2607,16.9562,15.5613,821.3556,0
4.5658,18.8587,15.7052,-0.5838,820.3898,0
4.0987,17.9793,23.5889,5.9624,811.6465,0
2.2664,5.7793,69.8854,25.5424,814.9105,0
4.3196,6.826,36.441,2.2194,820.1833,0
4.1605,12.9327,21.1635,6.5938,820.4893,0
4.1577,10.0181,35.9056,-0.584,825.8402,0
4.0887,6.7013,54.0069,5.6882,821.8476,0
2.5414,13.7004,35.2511,27.095,813.0543,0
2.6093,13.7265,35.26,24.5265,810.717,0
0.8004,2.9772,85.4055,36.1819,816.715,0.0034
4.1297,7.6649,32.2451,-0.5896,821.3759,0
3.8379,11.3724,31.9849,2.6326,823.7804,0
3.9013,11.4947,29.6214,-0.192,824.6586,0
2.2181,13.552,33.4102,28.7715,820.1228,0.0032
3.6369,10.332,49.5732,2.5912,821.8038,0.0002
2.1646,15.2607,16.4897,30.7243,811.1335,0
1.6184,1.7774,61.264,22.4965,808.1799,0
