TOT Global CMP22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
8.2219,24.1897,16.6295,11.0417,819.3472,0
8.1959,21.5749,33.1887,13.8035,822.2295,0
5.9655,22.2386,41.7413,25.5021,820.2034,0
6.8048,23.0887,49.4267,26.7535,816.1269,0
6.4854,23.7491,37.5805,22.3452,819.8545,0
5.7751,22.9823,47.4639,42.1928,823.2169,0
6.4115,24.116,43.5959,34.8761,822.5516,0.0004
5.5147,24.7198,36.3523,28.8493,822.4379,0
6.0349,26.1665,28.8644,23.9728,823.2725,0
6.0656,26.1652,31.7815,27.9146,821.6354,0.0012
5.8541,26.2923,28.2496,30.4024,819.3903,0.0007
6.2454,22.9801,40.6703,27.0333,821.4396,0
7.702,22.9728,47.6309,16.8215,821.4264,0
4.4904,26.164,22.298,43.4667,820.6399,0
8.2204,24.1739,32.9703,7.0451,821.5012,0
7.4114,21.2112,60.8455,17.0104,821.7607,0.0049
6.8389,21.6286,64.9112,18.9561,820.6574,0
7.2264,22.9641,50.4396,13.8868,817.4725,0
3.5841,24.0582,32.4401,38.5458,817.2833,0
6.9721,26.0218,24.3838,19.6701,819.1066,0
6.2434,24.6521,29.7699,36.4382,822.6559,0
6.883,24.7738,38.661,18.0556,819.2805,0.0002
4.4743,19.0973,41.5759,50.4306,822.1617,0
3.4343,17.7782,58.3031,52.2076,821.3487,0
4.6347,19.0912,69.2392,37.4486,819.0154,0
7.022,22.1197,46.2367,18.9194,818.0171,0
5.8949,23.562,36.5755,22.5333,816.8616,0.0005
7.0909,25.3782,25.7411,17.6056,816.3683,0.0009
5.8312,24.519,27.8217,28.7653,816.9694,0
6.4847,23.3069,32.3294,34.5125,819.1693,0.0005
7.5468,19.8419,41.1162,7.9063,822.4596,0
7.9648,22.4899,25.3876,10.2139,821.37,0
7.8369,22.6836,26.9861,6.2049,820.5241,0
6.0167,24.3557,18.2215,28.0535,820.2131,0
6.7633,21.0997,37.7841,22.8924,822.4374,0.0086
7.0516,22.9197,30.3956,13.0764,820.5674,0
4.4985,20.8674,38.6749,32.5778,819.4201,0
5.0913,14.4496,81.9117,32.9708,820.2563,0.0056
7.5406,15.169,56.8876,4.95,820.034,0
6.8618,21.6382,31.4649,16.4937,817.5022,0
5.6136,24.3371,20.3079,35.2444,815.2349,0
3.2983,21.8202,27.9322,38.8611,817.8511,0
2.139,15.2085,64.8802,48.6688,821.8048,0.0044
4.8241,13.3818,67.2543,26.5007,822.373,0.0011
5.8899,16.0734,55.5215,16.9569,819.2005,0.0019
6.5936,19.679,32.7899,20.1008,818.6652,0
4.5215,20.7902,30.6775,36.484,821.0696,0
3.877,18.4614,44.4209,40.291,824.419,0.0007
6.1352,19.012,46.9335,14.9736,824.6399,0
6.6293,18.6644,55.4053,20.1042,823.341,0
6.4222,19.9388,53.1077,12.3806,820.8028,0
4.6053,21.3404,43.3742,30.8479,817.5862,0.0002
4.8382,22.1412,33.3269,24.7243,815.1851,0
5.2262,20.3928,39.8922,21.1743,812.2421,0
6.4235,20.8994,30.6993,9.8875,812.9948,0
5.0765,18.0249,62.2682,30.2819,817.0663,0
4.7572,19.9606,47.7083,29.2931,817.6601,0
6.8946,22.3775,16.2685,4.8278,817.2143,0
6.4805,16.299,34.1677,10.5785,821.8283,0
6.7597,16.5763,35.7155,4.222,823.0206,0
5.1549,22.6949,13.2027,28.8042,817.4927,0
5.2054,17.0939,42.3895,18.8789,817.4549,0.0012
1.9327,10.3348,93.4011,41.8771,821.6116,0.0019
5.336,14.8471,67.2819,19.809,818.7765,0
4.723,15.2266,44.7957,26.359,818.5576,0
6.2313,14.3623,43.1043,4.5583,820.58,0
5.7569,16.7746,32.3176,10.0313,819.059,0
6.2955,22.3861,16.5753,6.0736,818.1521,0
6.1483,23.9574,15.5377,4.5701,820.7599,0
3.9888,24.144,14.3754,44.6611,819.8316,0
3.4409,21.4321,29.0546,35.5778,817.5318,0
4.4724,16.1701,63.3514,21.2417,815.4352,0
5.243,18.6929,40.9977,12.4299,809.8652,0
5.0589,12.553,31.6566,14.5931,817.1964,0
5.9417,12.4962,39.0591,4.119,826.9116,0
5.9032,16.0783,28.1373,4.1611,825.8132,0
5.8482,18.3125,24.6798,4.5958,821.6323,0
5.6997,19.1304,23.5298,4.5701,824.3897,0
5.474,17.8759,32.684,8.6423,823.9798,0
2.6161,16.6551,44.8138,37.515,821.5674,0
5.1347,18.4865,34.0896,7.9736,818.6588,0
5.0691,19.3472,30.8088,12.6493,816.4203,0
5.4893,17.0298,25.915,13.6979,805.3794,0
5.6091,10.2168,21.7046,3.9979,809.1237,0
3.8622,11.3464,23.3815,23.8528,813.1999,0
2.9793,6.2176,74.2648,29.1566,818.5926,0.0049
5.4589,10.0154,30.8663,3.7243,822.7031,0
5.1683,14.8728,17.9811,11.4266,822.734,0
3.9596,15.7082,23.7308,25.6118,820.1489,0
5.0635,18.6727,21.4639,11.9285,817.9833,0
4.0334,16.1354,37.1176,16.8657,817.1809,0
1.2132,3.6899,99.6101,39.5644,821.8657,0.0007
4.5781,15.7099,28.8096,14.302,818.1288,0
3.3077,19.223,18.0475,30.5271,813.4699,0
4.7176,20.0577,17.5199,9.5317,812.3374,0
4.7896,19.3232,20.407,4.4382,808.9928,0
4.5995,12.8378,36.5059,4.4739,806.7316,0
3.7257,9.5133,40.8493,13.3646,815.3632,0
4.8288,7.9136,44.4018,4.9986,822.3064,0
4.7281,7.6716,31.3876,3.4513,825.2405,0
4.2727,16.0075,11.351,20.0111,819.2177,0
4.5061,18.0464,11.9269,4.2826,816.3829,0
4.4089,14.4468,23.1698,9.0729,821.7521,0
4.0262,17.1466,18.8427,13.8569,821.1459,0
2.2403,16.3278,29.0107,29.0814,818.966,0
4.2857,15.6527,26.0671,3.7357,823.0377,0
4.126,18.3312,13.8917,8.0806,820.3139,0
2.4416,19.4429,16.2416,33.3792,816.9769,0
3.3328,17.2741,31.9213,12.3905,818.6983,0
2.8148,13.6146,52.5584,29.7514,818.5992,0
4.1431,18.083,21.0862,5.5511,810.8756,0
3.3845,11.503,37.6316,12.4007,813.6278,0
3.4131,9.4981,54.3613,8.166,823.8875,0.0002
4.0114,11.9,27.3732,3.1694,828.0853,0
3.8229,12.7673,25.3116,4.3535,825.8623,0
2.1596,12.1641,40.5912,26.2743,819.9301,0
3.4644,13.6862,33.4138,9.5999,816.7667,0
3.6855,11.6495,29.5573,3.0042,824.834,0
3.6419,10.3812,28.9704,5.678,828.4622,0
3.7084,13.3764,18.2609,3.1243,824.3395,0
3.5881,13.3477,24.7713,3.569,825.7695,0
