TOT Global CMP22 (vent/cor) [kW-hr/m^2],MAX Global CMP22 (vent/cor) [W/m^2],AVG Tower Dry Bulb Temp [deg C],MAX Tower Dry Bulb Temp [deg C],MIN Tower Dry Bulb Temp [deg C],AVG Tower RH [%],MAX Tower RH [%],MIN Tower RH [%],AVG Total Cloud Cover [%],MAX Total Cloud Cover [%],MIN Total Cloud Cover [%],AVG Station Pressure [mBar],MAX Station Pressure [mBar],MIN Station Pressure [mBar],AVG Precipitation [mm],MAX Precipitation [mm],MIN Precipitation [mm]
32939,6009110,95665,162500,45430,209955,309900,113200,52512,480000,-10000,8155522,8179670,8124780,0,0,0
31664,5828800,104317,164800,57040,186079,289200,115300,54277,780000,-10000,8100673,8124520,8082600,0,0,0
20228,6811240,21405,111100,-45110,565531,1001000,182600,182135,970000,-10000,8114696,8155200,8079370,0,0,0
7136,1847360,-71510,-44600,-103500,1001301,1002000,1001000,320660,970000,-10000,8198277,8247920,8154270,0,0,0
14636,7082320,-93949,-10040,-117500,1001288,1002000,809000,274113,980000,-10000,8231887,8251630,8199130,0,0,0
26460,6634280,-83251,-31960,-108000,917524,1002000,600000,211903,970000,-10000,8181487,8199160,8171840,44,5080,0
14250,3696620,-67747,-35350,-86800,919958,1002000,662000,309485,970000,-10000,8152510,8171920,8127400,0,0,0
30739,6079780,-42345,-1050,-74460,642540,1001000,269400,96071,770000,-10000,8116376,8128150,8094890,25,5080,0
16727,3553670,7199,32890,-36660,266197,374900,179500,283619,980000,-10000,8122972,8169990,8080700,0,0,0
27391,6267250,46989,98300,-8360,240982,403800,147100,55479,780000,-10000,8187151,8200070,8167320,0,0,0
30665,5303120,47859,104400,-6880,308616,547900,199200,19262,90000,-10000,8208827,8229390,8183340,0,0,0
27530,5284020,73119,160800,8570,236346,564600,107100,71190,790000,-10000,8156856,8183780,8133690,0,0,0
20155,6659620,41623,85300,4140,316844,588400,185600,186618,990000,-10000,8224864,8283610,8163440,0,0,0
20215,5119190,56960,129200,-5950,171984,311800,46280,229493,970000,-10000,8233827,8278810,8199690,0,0,0
17133,4977320,110180,155500,55800,149026,225200,71540,268051,990000,-10000,8166277,8205460,8119850,0,0,0
14494,5958220,103435,136700,73200,296575,490200,211100,202791,960000,-10000,8149308,8166260,8120910,0,0,0
14260,3768810,144733,200400,88900,163983,323600,68980,314085,1000000,-10000,8108204,8154390,8072930,0,0,0
